"id_language","code_language","label_language","isDefault","dateTimeFormat","state","seqnum"
1,"en       ","English                                           ","0","MM/dd/yy H:mm:ss                                  ","U",
2,"fr       ","Francais                                          ","0","MM/dd/yy H:mm:ss                                  ",,
