"id_formulaColor","id_formula","id_color","quantite","id_unit","state","encrypted"
691946,87769,10,"1",2,"I",0
723724,58335,10,"97.7382252825154",2,"I",0
723725,58335,26,"1.00187246872738",2,"I",0
723726,58335,115,"80.9290316405339",2,"I",0
723727,58335,789,"109.760694907244",2,"I",0
723728,58335,338,"129.397395294301",2,"I",0
723729,58335,28,"189.598798748497",2,"I",0
723730,58335,455,"231.516029648419",2,"I",0
723731,58335,117,"58.108603186188",2,"I",0
723732,58335,1167,"32.3493488235752",2,"I",0
828986,58336,10,"89.3993302076356",2,"I",0
828987,58336,116,"374.844451886582",2,"I",0
828988,58336,28,"374.987327528466",2,"I",0
828989,58336,1167,"74.9688903773164",2,"I",0
829000,58338,10,"88.0517654296575",2,"I",0
829001,58338,27,"3.59251202953002",2,"I",0
829002,58338,24,"40.1516050359238",2,"I",0
829003,58338,116,"233.764858392108",2,"I",0
829004,58338,28,"407.835651352361",2,"I",0
829005,58338,117,"95.8506360819985",2,"I",0
829006,58338,1167,"46.7529716784216",2,"I",0
829007,58339,10,"90.205271160669",2,"I",0
829008,58339,27,"5.123659401926",2,"I",0
829009,58339,24,"20.1750532184491",2,"I",0
829010,58339,116,"252.987126203751",2,"I",0
829011,58339,28,"431.418307146477",2,"I",0
829012,58339,117,"64.7931576279777",2,"I",0
829013,58339,1167,"50.5974252407501",2,"I",0
829014,206768,1088371,"20.6926654507556",2,"I",0
829015,206768,1088368,"68.5187597707139",2,"I",0
829016,206768,1088377,"210.763705054716",2,"I",0
829017,206768,1088362,"751.924869723814",2,"I",0
829018,58340,10,"88.0517654296575",2,"I",0
829019,58340,27,"3.59251202953002",2,"I",0
829020,58340,24,"40.1516050359238",2,"I",0
829021,58340,116,"233.764858392108",2,"I",0
829022,58340,28,"407.835651352361",2,"I",0
829023,58340,117,"95.8506360819985",2,"I",0
829024,58340,1167,"46.7529716784216",2,"I",0
829025,126090,10,"83.1632177238013",2,"I",0
829026,126090,386,"20.2443032859082",2,"I",0
829027,126090,25,"41.0588686362082",2,"I",0
829028,126090,24,"292.544439032983",2,"I",0
829029,126090,28,"387.09388930914",2,"I",0
